0,	0.0
0.01,	0.0112834155558496
0.05,	0.0563719777970166
0.1,	0.1124629160182850
0.125,	0.1403162048013340
0.15,	0.1679959714273630
0.2,	0.2227025892104780
0.25,	0.2763263901682370
0.3,	0.3286267594591270
0.35,	0.3793820535623100
0.4,	0.4283923550466680
0.45,	0.4754817197869240
0.5,	0.5204998778130470
0.6,	0.6038560908479260
0.7,	0.6778011938374180
0.8,	0.7421009647076610
0.9,	0.7969082124228320
1,	0.8427007929497150
1.1,	0.8802050695740820
1.2,	0.9103139782296350
1.3,	0.9340079449406520
1.4,	0.9522851197626490
1.5,	0.9661051464753110
1.75,	0.9866716712191820
2,	0.9953222650189530
2.5,	0.9995930479825550
3,	0.9999779095030010
3.5,	0.9999992569016280
4,	0.9999999845827420
4.5,	0.9999999998033840
5,	0.9999999999984630
5.5,	0.9999999999999930
6,	1.0
32,	1.0
-0.1,	-0.1124629160182850
-1,	-0.8427007929497150
TRUE,	"#VALUE!"
FALSE,	"#VALUE!"
2,	0.9953222650189530
"TWO",	"#VALUE!"
-1.5,	-1.5,	0
-0.75,	-1.5,	-0.254949513
0,	-1.5,	-0.966105146
0.75,	-1.5,	-1.67726078
1.5,	-1.5,	-1.932210293
2.25,	-1.5,	-1.96464243
3,	-1.5,	-1.966083056
3.75,	-1.5,	-1.966105033
4.5,	-1.5,	-1.966105146
-1.5,	-0.75,	0.254949513
-0.75,	-0.75,	0
0,	-0.75,	-0.711155634
0.75,	-0.75,	-1.422311267
1.5,	-0.75,	-1.67726078
2.25,	-0.75,	-1.709692917
3,	-0.75,	-1.711133543
3.75,	-0.75,	-1.71115552
4.5,	-0.75,	-1.711155633
-1.5,	0,	0.966105146
-0.75,	0,	0.711155634
0,	0,	0
0.75,	0,	-0.711155634
1.5,	0,	-0.966105146
2.25,	0,	-0.998537283
3,	0,	-0.99997791
3.75,	0,	-0.999999886
4.5,	0,	-1
-1.5,	0.75,	1.67726078
-0.75,	0.75,	1.422311267
0,	0.75,	0.711155634
0.75,	0.75,	0
1.5,	0.75,	-0.254949513
2.25,	0.75,	-0.28738165
3,	0.75,	-0.288822276
3.75,	0.75,	-0.288844253
4.5,	0.75,	-0.288844366
-1.5,	1.5,	1.932210293
-0.75,	1.5,	1.67726078
0,	1.5,	0.966105146
0.75,	1.5,	0.254949513
1.5,	1.5,	0
2.25,	1.5,	-0.032432137
3,	1.5,	-0.033872763
3.75,	1.5,	-0.03389474
4.5,	1.5,	-0.033894853
-1.5,	2.25,	1.96464243
-0.75,	2.25,	1.709692917
0,	2.25,	0.998537283
0.75,	2.25,	0.28738165
1.5,	2.25,	0.032432137
2.25,	2.25,	0
3,	2.25,	-0.001440626
3.75,	2.25,	-0.001462603
4.5,	2.25,	-0.001462716
-1.5,	3,	1.966083056
-0.75,	3,	1.711133543
0,	3,	0.99997791
0.75,	3,	0.288822276
1.5,	3,	0.033872763
2.25,	3,	0.001440626
3,	3,	0
3.75,	3,	-2.19768E-05
4.5,	3,	-2.20903E-05
-1.5,	3.75,	1.966105033
-0.75,	3.75,	1.71115552
0,	3.75,	0.999999886
0.75,	3.75,	0.288844253
1.5,	3.75,	0.03389474
2.25,	3.75,	0.001462603
3,	3.75,	2.19768E-05
3.75,	3.75,	0
4.5,	3.75,	-1.13531E-07
-1.5,	4.5,	1.966105146
-0.75,	4.5,	1.711155633
0,	4.5,	1
0.75,	4.5,	0.288844366
1.5,	4.5,	0.033894853
2.25,	4.5,	0.001462716
3,	4.5,	2.20903E-05
3.75,	4.5,	1.13531E-07
4.5,	4.5,	0
