-2.5,	5,	0
-1.5,	-1.5,	0
-0.75,	-1.5,	0
0,	-1.5,	0
0.75,	-1.5,	0.288844366
1.5,	-1.5,	0.033894854
2.25,	-1.5,	0.001462717
3,	-1.5,	2.20905E-05
3.75,	-1.5,	1.13727E-07
4.5,	-1.5,	1.96616E-10
-1.5,	-0.75,	0
-0.75,	-0.75,	0
0,	-0.75,	0
0.75,	-0.75,	0.288844366
1.5,	-0.75,	0.033894854
2.25,	-0.75,	0.001462717
3,	-0.75,	2.20905E-05
3.75,	-0.75,	1.13727E-07
4.5,	-0.75,	1.96616E-10
-1.5,	0,	0
-0.75,	0,	0
0,	0,	0
0.75,	0,	0.288844366
1.5,	0,	0.033894854
2.25,	0,	0.001462717
3,	0,	2.20905E-05
3.75,	0,	1.13727E-07
4.5,	0,	1.96616E-10
-1.5,	0.75,	0
-0.75,	0.75,	0
0,	0.75,	0
0.75,	0.75,	0.288844366
1.5,	0.75,	0.033894854
2.25,	0.75,	0.001462717
3,	0.75,	2.20905E-05
3.75,	0.75,	1.13727E-07
4.5,	0.75,	1.96616E-10
-1.5,	1.5,	0
-0.75,	1.5,	0
0,	1.5,	0
0.75,	1.5,	0.288844366
1.5,	1.5,	0.033894854
2.25,	1.5,	0.001462717
3,	1.5,	2.20905E-05
3.75,	1.5,	1.13727E-07
4.5,	1.5,	1.96616E-10
-1.5,	2.25,	0
-0.75,	2.25,	0
0,	2.25,	0
0.75,	2.25,	0.288844366
1.5,	2.25,	0.033894854
2.25,	2.25,	0.001462717
3,	2.25,	2.20905E-05
3.75,	2.25,	1.13727E-07
4.5,	2.25,	1.96616E-10
-1.5,	3,	0
-0.75,	3,	0
0,	3,	0
0.75,	3,	0.288844366
1.5,	3,	0.033894854
2.25,	3,	0.001462717
3,	3,	2.20905E-05
3.75,	3,	1.13727E-07
4.5,	3,	1.96616E-10
-1.5,	3.75,	0
-0.75,	3.75,	0
0,	3.75,	0
0.75,	3.75,	0.288844366
1.5,	3.75,	0.033894854
2.25,	3.75,	0.001462717
3,	3.75,	2.20905E-05
3.75,	3.75,	1.13727E-07
4.5,	3.75,	1.96616E-10
-1.5,	4.5,	0
-0.75,	4.5,	0
0,	4.5,	0
0.75,	4.5,	0.288844366
1.5,	4.5,	0.033894854
2.25,	4.5,	0.001462717
3,	4.5,	2.20905E-05
3.75,	4.5,	1.13727E-07
4.5,	4.5,	1.96616E-10
